id,name,party ,sector ,Country 
UL,Ursula von der Leyen,CDU,Politik ,DE
LK,Lars Klingbeil ,SPD,Politik ,DE
NR,Norbert Röttgen ,CDU,Politik ,DE
SW,Sahra Wagenknetcht,Linke ,Politik ,DE
CS,Constanze Stelzenmüller,,Jura,USA
CL,Christian Lindner,FDP,Politik ,DE
KS,Karl Schlögel ,,Historiker ,DE
LM,Ljudmyla Melnyk ,,Politikwissenschaftler,Ukraine 
KD,Kristina Dnuz ,,Jounalismus,DE
EL,Egils Levits ,,Politik ,Lettland 
AB,Annaleina Baerbock,Grüne,Politik ,DE
FS,Frans Timmermans ,,Politik ,Niederlande 
AM,Andrij Melnyk ,,Politik ,Ukraine 
AG,Alexander Graf Lambsdorff ,FDP,Politik ,DE
EG,Egon Ramms ,,Bundeswehr ,DE
RH,Robert Habeck ,Grüne,Politik ,DE
CM,Claudia Major ,,Politikwissenschaftler ,
KP,Katja Petrowskaja ,,Journalismus,Ukraine 
RK,Roderich Kiesewetter ,CDu,Politik ,DE
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
